pi.vec,procedure,FDR,n,bound,power
0.15000000000000002,LORD,0.012101598789858548,50,1,0.2346176633000417
0.15000000000000002,ADDIS,0.021313435700255068,50,1,0.2543335402176525
0.15000000000000002,LORD2.plus,0.019921650817534546,50,1,0.26145341060380933
0.15000000000000002,SAFFRON,0.0440570573882407,50,1,0.2418304431468499
0.15000000000000002,LOND,0.02164577594641251,50,1,0.29150553440020727
0.2,Bonferroni,0.008884810687926093,50,1,0.2674059206066586
0.2,LORD,0.011535779709857013,50,1,0.24189354640274002
0.2,ADDIS,0.021437595781847927,50,1,0.2679880080918506
0.2,LORD2.plus,0.01976652522148062,50,1,0.27345863764582407
0.2,SAFFRON,0.043877965315571366,50,1,0.2587184495066406
0.2,LOND,0.01935919441150276,50,1,0.29784598143324337
0.25,Bonferroni,0.007137640709334413,50,1,0.267193000919093
0.25,LORD,0.0111960843279879,50,1,0.2506039370710696
0.25,ADDIS,0.022119524628228377,50,1,0.2831953058170802
0.25,LORD2.plus,0.019735107150310998,50,1,0.28568291100709453
0.25,SAFFRON,0.0433992434838093,50,1,0.27458458902484467
0.25,LOND,0.017914761126103063,50,1,0.30449712458621575
0.30000000000000004,Bonferroni,0.005911849037700561,50,1,0.2674066942257335
0.30000000000000004,LORD,0.011039672411175625,50,1,0.25946338368112054
0.30000000000000004,ADDIS,0.022561248261472246,50,1,0.2958278287570036
0.30000000000000004,LORD2.plus,0.019566544707098177,50,1,0.29755912495702846
0.30000000000000004,SAFFRON,0.042430578347745995,50,1,0.2913726044583797
0.30000000000000004,LOND,0.01661304450124923,50,1,0.31090526447223366
0.35,Bonferroni,0.0048601919859541,50,1,0.26812662526664516
0.35,LORD,0.010884841551121129,50,1,0.2687586756284893
0.35,ADDIS,0.021423286363706308,50,1,0.3085655804201086
0.35,LORD2.plus,0.019189146989714436,50,1,0.308944902237957
0.35,SAFFRON,0.04106155799548206,50,1,0.30660707085850064
0.35,LOND,0.015439898551194745,50,1,0.3173369688055708
0.4,Bonferroni,0.003998026461434163,50,1,0.26773263688239657
0.4,LORD,0.010416020823815788,50,1,0.2766089761339855
0.4,ADDIS,0.020752144181684782,50,1,0.31967158450452227
0.4,LORD2.plus,0.018466531142036755,50,1,0.31855543914921264
0.4,SAFFRON,0.039607984067027875,50,1,0.32160319047039293
0.4,LOND,0.014266800781963872,50,1,0.3220341980867041
0.45000000000000007,Bonferroni,0.0032933141571368538,50,1,0.2677846084368098
0.45000000000000007,LORD,0.009806140770182981,50,1,0.2843068797877469
0.45000000000000007,ADDIS,0.019890296681238148,50,1,0.3299870261866686
0.45000000000000007,LORD2.plus,0.017016792706064335,50,1,0.32766951405677763
0.45000000000000007,SAFFRON,0.03731242601346995,50,1,0.335427308022371
0.45000000000000007,LOND,0.01283511620166404,50,1,0.32700033836595616
0.5,Bonferroni,0.002706538116699449,50,1,0.2676493882166818
0.5,LORD,0.00923499804570267,50,1,0.29143093351188154
0.5,ADDIS,0.018916240223884814,50,1,0.3404206230074198
0.5,LORD2.plus,0.01602491169196726,50,1,0.33615735247215645
0.5,SAFFRON,0.03452354369962543,50,1,0.34915377703111533
0.5,LOND,0.01163428099552416,50,1,0.33175259842100485
0.55,Bonferroni,0.0022713401746886097,50,1,0.26769430836773067
0.55,LORD,0.008588370863183176,50,1,0.29831132986389414
0.55,ADDIS,0.017660218206004632,50,1,0.3509673615747755
0.55,LORD2.plus,0.014855909534059379,50,1,0.3442673556851282
0.55,SAFFRON,0.03189428262320094,50,1,0.36256459594015295
0.55,LOND,0.010669812723726831,50,1,0.33610037840025
0.6,Bonferroni,0.0018699916568527418,50,1,0.2677770620344927
